data,prezzo_eur_mwh
2025-04-13,37.2171
2025-04-14,39.5096
2025-04-15,39.4186
2025-04-16,39.7238
2025-04-17,39.4545
2025-04-18,39.5519
2025-04-19,37.1266
2025-04-20,36.9083
2025-04-21,36.7901
2025-04-22,38.0149
2025-04-23,36.9693
2025-04-24,35.9307
2025-04-25,33.7659
2025-04-26,33.9287
2025-04-27,33.3384
2025-04-28,34.8912
2025-04-29,34.0089
2025-04-30,33.1440
2025-05-01,32.8321
2025-05-02,33.2543
2025-05-03,32.9897
2025-05-04,33.0606
2025-05-05,36.1067
2025-05-06,36.5018
2025-05-07,38.1015
2025-05-08,38.2519
2025-05-09,38.5434
2025-05-10,38.0494
2025-05-11,38.0557
2025-05-12,39.0653
2025-05-13,39.3118
